number,profit_rate,trade_count,failed_trades,start_date,end_date,up_sell_rate,down_buy_rate,up_callback_rate,down_rebound_rate,shares_per_trade
26,5.34899289827801,12,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.011,0.02,0.0065,0.002,38000
27,6.215555062220872,9,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0155,0.024999999999999998,0.0065,0.002,49000
28,4.0248612169186435,6,"{'无持仓': 71, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.017,0.024999999999999998,0.0065,0.001,50000
29,4.393394685201811,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0115,0.028,0.008,0.0025,46000
30,4.262952407408383,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 2, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0155,0.027,0.007500000000000001,0.003,32000
31,4.3792461456980725,10,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 7, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.012,0.0195,0.0065,0.002,37000
32,5.689935239680125,11,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.014499999999999999,0.022,0.0065,0.0015,39000
33,7.3137322016904065,11,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.014499999999999999,0.023,0.007500000000000001,0.0015,47000
34,5.602017923075796,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.015,0.0235,0.009000000000000001,0.0015,47000
35,4.2711026019795995,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.018,0.029,0.007500000000000001,0.001,46000
36,3.768948484214165,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 15, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0215,0.023,0.009000000000000001,0.0045000000000000005,48000
37,2.9409829086884685,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.014499999999999999,0.026,0.008,0.003,40000
38,0.6040195325593232,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 144, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.018,0.003,0.005,0.0015,35000
39,4.168093156031207,9,"{'无持仓': 116, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.007500000000000001,0.0215,0.006,0.0025,50000
40,2.5345343729215304,5,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.022,0.0295,0.006,0.003,29000
41,5.430420020203405,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.015,0.0235,0.009500000000000001,0.0015,46000
42,4.295108573622491,7,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 9, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0195,0.0235,0.007,0.0015,45000
43,3.4646302176002126,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 0, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.016,0.0275,0.0085,0.001,41000
44,3.6234028820099446,6,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 3, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.013999999999999999,0.0255,0.0085,0.0015,48000
45,5.216038036278962,8,"{'无持仓': 0, '卖出价格超范围': 0, '现金不足': 5, '买入价格超范围': 0}",2024-10-15,2024-12-20,0.0125,0.023,0.008,0.0025,48000
